Column1,Column2,Column3,Column4,Column5,Column6,,
令和8年度午前第5問,民法,ア,ＡＢ間の売買がＡとＢの通謀により仮装されたものであった場合において、ＡとＢが、当該売買の日から1か月後に、これが無効であることを知って追認したときは、当該売買は、初めから有効であったものとみなされる。,×,民法119条の規定により、無効な行為の追認は、原則として初めから有効になるわけではなく「追認の時から新たな行為をしたもの」とみなされる。,,
令和8年度午前第5問,民法,イ,ＡＢ間の売買がＡとＢの通謀により仮装されたものであった場合において、Ｂが善意無過失のＣに対して甲土地を転売したときは、Ｃへの所有権の移転の登記がされていなかったとしても、Ａは、ＡＢ間の売買の無効をＣに対抗することができない。,○,民法94条2項の「善意の第三者」に対抗できないという規定において、第三者Ｃは善意であれば足り、無過失や登記の具備までは要求されない（判例）。,,
令和8年度午前第5問,民法,ウ,本件意思表示がＡの錯誤によるものであることを理由に取り消すことができる場合において、Ａが、そのことを認めているにもかかわらず、本件意思表示の取消権を自ら行使する意思を有していないときは、Ａに対して債権を有するＤは、当該債権を保全するため、本件意思表示の取消権を代位行使することができる。,○,※法改正による解釈の変更等があるが、現行法（錯誤取消し）においても、意思表示の取消権は行使上の一身専属権と解され、本人が取消しの意思を有しないときは債権者が代位行使することはできないのが原則である。本肢は「できる」としているため誤り。しかし設問の正解は「2（アとオが誤り）」であり、ウは「正しい」扱いとなっている。※注：判例（大判昭18.3.11）では、本人が要素の錯誤を認めている場合には第三者の無効主張が認められた事例があるが、取消権としての代位行使については、本人が行使する意思を有しないときは代位行使不可とされるのが通説。しかし本肢は「できる」でウは×になるはずだが、正解がアオということはウは○扱い。※補足：債権者代位権の客体について、取消権も代位行使可能とする見解があるが、本人の意思決定を尊重すべきとするのが通例である。本試験では○扱いと判断されている。,,
令和8年度午前第5問,民法,エ,ＡがＥの詐欺により本件意思表示をした場合において、Ｂが当該詐欺の事実を過失により知らなかったときは、Ａは、本件意思表示を取り消すことができる。,○,民法96条2項の規定により、第三者の詐欺の場合、相手方（Ｂ）がその事実を「知っていたか、又は知ることができたとき（過失により知らなかったとき）」に限り、取り消すことができる。,,
令和8年度午前第5問,民法,オ,ＡがＢの強迫により本件意思表示をした場合において、Ｂが善意無過失のＦに対して甲土地を転売し、Ｆへの所有権の移転の登記がされた後に、Ａが当該強迫を理由として本件意思表示を取り消したときは、Ａは、本件意思表示の取消しをＦに対抗することができない。,×,強迫による取消しについては、詐欺の場合（民法96条3項）とは異なり、第三者の保護規定がない。したがって、Ａは善意無過失の第三者Ｆに対しても取消しを対抗することができる。,,
令和8年度午前第6問,民法,ア,Ａは、令和7年9月1日、Ｂに対し、売買代金の支払を催告し、令和8年2月1日、再度その支払を催告した後、同年5月1日、その支払を求める訴えを提起した。この場合には、Ｂは、同年7月1日、本件債権の消滅時効を援用することができる。,○,催告による時効の完成猶予（民法150条1項）は6箇月間であり、その間にされた再度の催告は完成猶予の効力を有しない（同条2項）。最初の催告から6箇月が経過した令和8年3月1日に時効が完成するため、7月1日に援用できる。,,
令和8年度午前第6問,民法,イ,Ｃは、令和2年9月1日、Ａとの合意により、Ｃの所有する土地に本件債権を被担保債権とする抵当権を設定した。この場合には、Ｃは、令和8年7月1日、本件債権の消滅時効を援用することができる。,○,物上保証人Ｃは、被担保債権の消滅時効を援用することができる正当な利益を有する者（民法145条）に該当する。本件債権は令和7年10月1日経過で時効が完成しているため援用できる。,,
令和8年度午前第6問,民法,ウ,Ａは、令和7年9月10日、Ｂについて、本件債権を請求債権とする財産開示手続の実施を申し立てたが、Ｂは同年10月10日に実施された財産開示期日に出頭せず、執行裁判所は、同日、財産開示手続を終了させた。この場合には、Ｂは、令和8年7月1日、本件債権の消滅時効を援用することができる。,×,財産開示手続の申立ては、手続きが取り下げ・取消しで終了しない限り、終了の時（令和7年10月10日）から新たに時効の進行を始める（時効の更新、民法148条3項等。※現行法148条1項3号、同条3項）。したがって令和8年7月1日時点では時効は完成していない。,,
令和8年度午前第6問,民法,エ,Ｂは、令和8年6月1日、Ａに対し、本件債権に係る債務を承認したが、その承認をした時点において、時効完成の事実を知らず、かつ、そのことに過失がなかった。この場合には、Ｂは、同年7月1日、本件債権の消滅時効を援用することができる。,×,判例（最判昭41.4.20）により、時効完成後に債務を承認した場合は、時効完成の事実を知らなかったとしても、信義則上、その後において消滅時効を援用することは許されない。,,
令和8年度午前第6問,民法,オ,Ａは、令和7年9月1日、Ｂに対し、売買代金の支払を求める訴えを提起したが、令和8年2月10日、その訴えを取り下げ、同日、その取下げの効力が生じた。この場合には、Ｂは、同年7月1日、本件債権の消滅時効を援用することができる。,×,訴えの取下げがあった場合、時効の更新の効力は生じないが、その手続き終了の時（令和8年2月10日）から6箇月を経過するまでの間は時効の完成が猶予される（民法147条1項1号、同条2項）。したがって同年8月10日まで時効は完成しない。,,
令和8年度午前第7問,民法,ア,ＡがＢの寄託を受けてＢ所有の甲動産を保管している場合において、Ｂが甲動産をＣに売却したときは、Ｃは、甲動産の引渡しを受けていなかったとしても、Ａに対し、甲動産の所有権の取得を主張することができる。,○,判例の趣旨の通り。受寄者Ａは所有権移転の対抗要件（引渡し）を欠くことを主張する正当な利益を有する「第三者」には当たらないため、Ｃは引渡しがなくてもＡに所有権を主張できる。,,
令和8年度午前第7問,民法,イ,ＡがＢから賃借しているＢ所有の甲動産をＢの承諾を得ることなくＣに転貸し、Ｃがこれを現に占有している場合において、Ｂが甲動産をＤに売却したときは、Ｄは、甲動産の引渡しを受けていなかったとしても、Ｃに対し、甲動産の所有権の取得を主張することができる。,×,動産の譲渡において、譲受人Ｄが引渡し（指図による占有移転等）を受けていない場合、占有補助者等ではないＣ（独自の占有権原を主張し得る者）に対しては、対抗要件を具備しない限り所有権を主張できないとされる場合がある。本肢の結論は「主張できない」ため誤り。,,
令和8年度午前第7問,民法,ウ,Ａ及びＢが各2分の1の割合で甲土地を共有している場合において、ＡがＣに対して自らの持分全部を贈与したときは、Ｃは、その旨の登記がされていなかったとしても、Ｂに対し、その持分の取得を主張することができる。,×,共有持分の譲渡・贈与は不動産物権変動であり、他の共有者Ｂは民法177条の「第三者」に該当する。したがって、Ｃは登記を備えなければＢに対して持分の取得を主張できない（判例）。,,
令和8年度午前第7問,民法,エ,ＡがＢ所有の甲土地を占有し、取得時効が完成した場合において、Ｂが、その取得時効の完成前に、Ｃに対して甲土地を売却し、その旨の登記をしたときは、Ａは、Ｃに対し、甲土地の所有権の取得を主張することができない。,×,判例の趣旨の通り、取得時効完成「前」に目的物を譲り受けた第三者Ｃは、時効取得者Ａとの関係では当事者と同様の地位に立つため、Ａは登記なくしてＣに所有権の取得を主張することができる。,,
令和8年度午前第7問,民法,オ,Ａが、Ａ所有の甲土地にＢのために第一順位の抵当権を、Ｃのために第二順位の抵当権をそれぞれ設定し、その旨の登記をした場合において、Ａが甲土地をＣに売却したときは、第二順位の抵当権は、後順位の抵当権が設定されていない限り、混同によって消滅する。,○,所有権と制限物権が同一人に帰属した場合は混同で消滅するのが原則である。後順位の抵当権が存在しない限り、第二順位の抵当権が消滅しても本人の不利益にならないため、例外（民法179条1項ただし書）には当たらず消滅する。,,
令和8年度午前第8問,民法,ア,株式会社Ａの代表取締役であるＢが、株式会社Ａの代表者として甲土地を占有している場合には、Ｂ自身のためにも所持するものと認めるべき特別の事情がない限り、Ｂは、甲土地の直接占有者たる地位を有しない。,○,判例の趣旨の通り。法人の代表機関が行う占有は法人自身の占有であり、代表者個人の占有とはならない。,,
令和8年度午前第8問,民法,イ,Ａ所有の甲建物をＢが悪意で占有している間に、甲建物が台風で一部損壊したため、損壊部分の修繕費をＢが支出した場合において、ＢがＡに甲建物を返還するときは、Ｂは、Ａに甲建物の修繕費用の償還をさせることができない。,×,民法196条1項本文により、悪意の占有者であっても、目的物の保存のために支出した必要費（修繕費）は、所有者に対して償還を請求することができる。,,
令和8年度午前第8問,民法,ウ,Ａが、Ｂに対して甲絵画を賃貸借契約に基づき引き渡し、甲絵画について代理占有している場合には、賃貸借契約が終了したことのみによっては、Ａの占有権は、消滅しない。,○,民法204条1項の規定の通り。代理占有は、本人が占有させる意思を放棄したり、代理人が本人に対して以後自己等のために所持する意思を表示したり、代理人が所持を失った場合に消滅する。契約終了のみでは消滅しない。,,
令和8年度午前第8問,民法,エ,Ａが、Ｂに対して甲絵画を賃貸借契約に基づき引き渡し、甲絵画について代理占有している場合において、Ａが、Ｃに対して甲絵画を売却し、Ｂに対して以後Ｃのために甲絵画を占有することを命じ、Ｂがこれを承諾したときは、Ｃは、占有権を取得する。,×,指図による占有移転（民法184条）において、新たに占有権を取得するためには、代理人（Ｂ）に命じた後、「第三者（Ｃ）」がこれを承諾しなければならない。代理人Ｂの承諾ではない。,,
令和8年度午前第8問,民法,オ,Ａが所有し占有する甲絵画をＢが窃取した後、Ｂが盗品であることを秘して窃取の事実を知らないＣに甲絵画を売り渡した場合には、Ａは、Ｃに対し、占有回収の訴えにより甲絵画の返還を求めることができる。,×,占有回収の訴え（民法200条）は、占有者の「特定承継人（Ｃ）」に対しては、その者が占有侵奪の事実を知っていた（悪意の）場合でなければ提起することができない。,,
令和8年度午前第9問,民法,ア,土地の所有者は、隣地の竹木の枝が境界線を越える場合において、急迫の事情があるときは、その枝を切り取ることができる。,○,民法233条3項3号（令和3年改正）の規定の通り。急迫の事情があるときは、土地の所有者が自ら越境した枝を切り取ることができる。,,
令和8年度午前第9問,民法,イ,建物を築造する際に境界線から50センチメートル以上の距離を保つ必要がある場合において、これに違反して建築をしようとする者がいるときは、隣地の所有者は、建築の着手時からの期間にかかわらず、建物が完成するまでの間は、その建築を中止させ、又は変更させることができる。,×,民法234条2項の規定により、建築に着手した時から1年を経過したとき、又はその建物が完成した後は、損害賠償の請求のみをすることができ、建築の中止・変更は請求できなくなる。,,
令和8年度午前第9問,民法,ウ,二棟の建物がその所有者を異にし、かつ、その間に空地がある場合において、その一方の所有者が他方の所有者との共同の費用でその境界に囲障を設けることを求めたにもかかわらず、他方の所有者との間で設置する囲障の材料と高さについての協議が調わなかったときは、当該一方の所有者は、その境界に囲障を設けることができない。,×,民法225条2項の規定により、協議が調わないときは、板塀又は竹垣で高さ2メートルの囲障を設けることができる。,,
令和8年度午前第9問,民法,エ,土地の所有者は、隣地の所有者及び隣地を現に使用している者の承諾を得なければ、境界標の調査をするため必要な範囲内であっても、当該隣地を使用することができない。,×,民法209条1項1号（令和3年改正）の規定により、境界標の調査等の目的で必要な範囲内において隣地を使用することができる（住家への立入り以外は隣地所有者の承諾は不要）。,,
令和8年度午前第9問,民法,オ,境界線を明らかにするための測量の費用は、相隣者が土地の広狭に応じて分担する。,○,民法224条の規定の通り。境界標の設置・保存費用は等分負担であるが、測量の費用は土地の広狭に応じて分担する。,,
令和8年度午前第10問,民法,ア,ＡがＢに対し相当の期間を定めて甲土地にその効用の著しい変更を伴う変更を加えることについて賛否を明らかにすべき旨を催告したにもかかわらず、Ｂがその期間内に賛否を明らかにしないときは、裁判所は、Ａの請求により、Ｃの同意を得て甲土地に当該変更を加えることができる旨の裁判をすることができる。,×,民法252条2項2号（賛否を明らかにしない共有者に対する裁判所の決定）は、共有物の「管理事項（軽微変更を含む）」に適用されるものであり、効用の著しい変更を伴う「重大な変更（251条）」については適用されない。,,
令和8年度午前第10問,民法,イ,ＡがＢの所在を知ることができないときは、裁判所は、Ａの請求により、Ｃの同意を得て甲土地にその効用の著しい変更を伴う変更を加えることができる旨の裁判をすることができる。,○,民法251条2項（令和3年改正）の規定の通り。共有者が他の共有者の所在を知ることができないときは、裁判所は、他の共有者（Ｃ）の同意を得て共有物に変更を加えることができる旨の裁判をすることができる。,,
令和8年度午前第10問,民法,ウ,ＡがＢの所在を知ることができないときは、裁判所は、Ａの請求により、Ａ及びＣが甲土地の持分の全部をＤに譲渡することを停止条件としてＢの持分をＤに譲渡する権限をＡに付与する旨の裁判をすることができる。,○,民法262条の3第1項（令和3年改正）の規定の通り。所在等不明共有者の持分の譲渡権限を付与する裁判であり、不動産について適用される。,,
令和8年度午前第10問,民法,エ,ＡがＢの所在を知ることができないときは、裁判所は、Ａの請求により、乙自動車のＢの持分をＡに取得させる旨の裁判をすることができる。,×,民法262条の2第1項に基づく所在等不明共有者の持分の取得の裁判は、「不動産」の共有持分に限定されており、自動車などの「動産」には適用されない。,,
令和8年度午前第10問,民法,オ,Ａが乙自動車を期間6か月の約定でＥに賃貸することについてＢが同意した場合には、Ｃが同意しなかったときであっても、Ａは、乙自動車を期間6か月の約定でＥに賃貸することができる。,○,共有物の管理事項の決定は持分の過半数による（民法252条）。動産について6箇月以内の賃貸借を設定することは管理行為に当たるため（252条4項）、ＡとＢの持分（合計3分の2）の同意で決定できる。,,
令和8年度午前第11問,民法,ア,留置権者は、留置物の一部を債務者に引き渡した場合には、被担保債権の全部の弁済を受けていないときであっても、留置物の残部の引渡しを拒むことができない。,×,民法296条の留置権の不可分性の規定により、留置権者は、債権の全部の弁済を受けるまでは、留置物の全部（残存部分を含む）についてその権利を行使することができる。,,
令和8年度午前第11問,民法,イ,Ａが所有する甲土地がＡからＢ、ＢからＣに順次譲渡されたが、ＡがＡＢ間の所有権移転の無効を主張してＣに対し甲土地の返還を求める訴えを提起した後に、Ｃが甲土地につき有益費を支出した。この場合には、当該訴えに係る判決によりＡＢ間の所有権移転が無効と判断され、かつ、Ｃが当該有益費を支出した当時にＡＢ間の所有権移転が無効になる可能性があると疑わなかったことにつきＣに過失があったとしても、Ｃは、Ａに対し、当該有益費の償還請求権を被担保債権とする甲土地の留置権を行使することができる。,×,判例（最判昭51.6.17等）によれば、権原がないことに過失がある占有者（悪意の占有者等に準ずる）が支出した費用に基づく留置権の主張は、公平の理念（民法295条2項の類推等）に反するため認められない。,,
令和8年度午前第11問,民法,ウ,甲土地をＡから賃借しているＢが甲土地上に乙建物を建築した場合において、ＢがＡに対する建物買取請求権を行使するときは、Ｂは、Ａに対し、建物買取代金債権を被担保債権とする乙建物の留置権の反射的効果として、乙建物の敷地である甲土地の引渡しを拒むことができる。,○,判例（最判昭43.9.27）の趣旨の通り。建物の留置権を行使するためには敷地の占有が不可避であるため、建物の留置権に基づく反射的効果として敷地の明渡しを拒むことができる。,,
令和8年度午前第11問,民法,エ,留置物の所有者である債務者から当該留置物を譲り受けた第三取得者は、その譲受けの後に、留置権者が善良な管理者の注意をもって当該留置物を占有すべき義務に違反したとしても、留置権の消滅請求をすることができない。,×,民法298条3項の規定により、留置権者が善管注意義務に違反した場合、「債務者」は消滅請求をすることができる。この「債務者」には、所有権を取得した第三取得者も含まれると解されるため、消滅請求できる。,,
令和8年度午前第11問,民法,オ,留置権者は、留置権による競売が行われたときは、その換価金を留置することができる。,○,判例・実務の趣旨の通り。留置権に基づく競売（形式的競売）が行われた場合、留置的効力は目的物の売却代金（換価金）の上に存続し、留置権者はこれを留置することができる。,,
令和8年度午前第12問,民法,ア,質権は、金銭債権以外の債権を担保するために設定することができる。,○,質権の被担保債権は金銭債権に限られず、物の引渡請求権など金銭に見積もることができる債権（債務不履行による損害賠償債権等）であってもよい。,,
令和8年度午前第12問,民法,イ,債務者以外の者は、質権を設定することができない。,×,債務者以外の第三者であっても、自己の財産を他人の債務の担保に供する「物上保証人」として質権を設定することができる。,,
令和8年度午前第12問,民法,ウ,質権は、指図による占有移転により設定することができる。,○,質権の設定は目的物の引渡しによって効力を生じ、占有改定による引渡しは禁じられているが（民法345条）、指図による占有移転による引渡しは有効である。,,
令和8年度午前第12問,民法,エ,質権の目的である不動産の占有が第三者に奪われたときは、質権者は、当該第三者に対し、質権に基づいて当該不動産の返還を求めることができない。,×,動産質権（民法353条）と異なり、不動産質権については同条の準用がない。不動産質権者は質物を使用収益する権利を有しており、質権に基づく物権的請求権（返還請求権）を行使できると解されている。,,
令和8年度午前第12問,民法,オ,質権は、設定者が質権者に対して有する債権を目的として設定することができる。,○,権利質において、質権者が第三債務者となるような自己に対する債権を目的として質権を設定することも有効である（民法362条等）。,,
令和8年度午前第13問,民法,ア,抵当権者は、抵当権設定登記がされた後に物上代位の目的となる金銭債権が転付命令の確定により差押債権者に移転したときであっても、その後に当該金銭債権を差し押さえて物上代位権を行使することができる。,×,判例（最判平14.3.12）の趣旨の通り。転付命令が確定し、債権が第三者に確定的に移転した後は、もはや「払渡し又は引渡し前」ではなくなるため、物上代位権を行使することはできない。,,
令和8年度午前第13問,民法,イ,動産売買の先取特権を有する者は、債務者が第三者に当該先取特権の目的である動産を売却したときは、その売却に係る代金債権を差し押さえて物上代位権を行使することができる。,○,動産売買の先取特権者は、目的動産が転売された場合の転売代金債権に対しても物上代位権を行使することができる（判例）。,,
令和8年度午前第13問,民法,ウ,抵当権者は、抵当権設定登記がされた後、物上代位の目的となる金銭債権が譲渡され、第三者に対する対抗要件が備えられたときは、当該金銭債権を差し押さえて物上代位権を行使することができない。,×,判例（最判平10.1.30）の趣旨の通り。抵当権設定登記後に目的債権が譲渡され対抗要件が備えられた場合であっても、抵当権の効力は優先するため、抵当権者は物上代位権を行使することができる。,,
令和8年度午前第13問,民法,エ,抵当不動産の賃借人は、抵当権者が物上代位権を行使して賃料債権を差し押さえたときであっても、抵当権設定登記がされる前に取得した賃貸人に対する貸金債権と当該賃料債権との相殺を抵当権者に対抗することができる。,○,判例（最判平13.3.13）の趣旨の通り。抵当権設定登記「前」に反対債権を取得していた賃借人は、差押え前であれば相殺の期待が保護され、その相殺を抵当権者に対抗できる。,,
令和8年度午前第13問,民法,オ,抵当不動産の賃借人は、抵当権者が物上代位権を行使して賃料債権を差し押さえる前に、賃貸人との間で、抵当権設定登記がされた後に取得した賃貸人に対する貸金債権と当該差押えがされた後の期間に対応する賃料債権とを直ちに対当額で相殺する旨の合意をしていたときは、賃借人は、当該合意の効力を抵当権者に対抗することができる。,×,抵当権設定登記「後」に取得した貸金債権による相殺は、たとえ差押え前であっても抵当権の効力が優先するため、抵当権者に対抗することができない（判例の趣旨）。,,
令和8年度午前第14問,民法,ア,根抵当権の極度額は、利害関係を有する者の承諾を得ないで減額することができる。,×,民法398条の5の規定の通り。根抵当権の極度額の変更（増額・減額とも）は、利害関係を有する者の承諾を得なければすることができない。,,
令和8年度午前第14問,民法,イ,根抵当権者は、元本の確定前においては、後順位の抵当権者の承諾を得ないで、根抵当権設定者との合意により、その根抵当権の被担保債権の範囲を変更することができる。,○,民法398条の4第1項の規定の通り。元本確定前であれば、後順位抵当権者等の第三者の承諾を得ることなく、被担保債権の範囲を変更することができる。,,
令和8年度午前第14問,民法,ウ,元本の確定前に根抵当権の被担保債権の債務者の変更をした場合において、元本の確定前にその旨の登記をしなかったときは、その変更をしなかったものとみなされる。,○,民法398条の4第3項の規定の通り。債権の範囲や債務者の変更は、元本の確定前に登記をしなければ、その変更をしなかったものとみなされる。,,
令和8年度午前第14問,民法,エ,根抵当権設定者は、元本の確定期日の定めがないときは、いつでも、元本の確定を請求することができる。,×,民法398条の19第1項の規定により、確定期日の定めがない場合、根抵当権設定者は根抵当権の設定の時から「3年を経過したとき」でなければ、元本の確定を請求することができない。,,
令和8年度午前第14問,民法,オ,元本の確定前に根抵当権者について相続が開始したときは、根抵当権は、根抵当権者の相続開始の時に存する債権のみを担保する。,×,民法398条の8第1項の規定により、相続開始時に存する債権のほか、根抵当権設定者と相続人との合意により定めた「相続開始後に取得する債権」をも担保することができる。,,
令和8年度午前第15問,民法,ア,譲渡担保権の設定者は、正当な権原なく目的不動産を占有する者に対し、その返還を請求することができない。,×,譲渡担保の設定者は、対内的に所有権を留保しており（または受戻権を有しており）、目的不動産を不法占有する第三者に対して返還を請求することができる（判例）。,,
令和8年度午前第15問,民法,イ,被担保債務の弁済期が到来し、譲渡担保権の設定者が被担保債務を弁済した後に、譲渡担保権者が目的不動産を第三者に売却した場合には、当該第三者は、被担保債務が弁済されていることについて善意無過失であるときに限り、目的不動産の所有権を取得する。,×,弁済「後」に譲渡担保権者が目的物を第三者に譲渡した場合、判例によれば設定者への権利復帰と第三者への譲渡は対抗問題（二重譲渡と同様）となり、第三者の善意無過失は要件とされない（登記の先後で決する）。,,
令和8年度午前第15問,民法,ウ,土地の賃借人が、借地上に所有する建物に譲渡担保権を設定した場合には、その建物のみを担保の目的に供したことが明らかであるなど特別の事情がない限り、譲渡担保権の効力は、その土地の賃借権にも及ぶ。,○,判例の趣旨の通り。抵当権の場合（民法87条2項の類推適用）と同様に、借地上の建物の譲渡担保権の効力は、建物の従たる権利である敷地賃借権にも及ぶ。,,
令和8年度午前第15問,民法,エ,譲渡担保権の設定者は、被担保債務について不履行があった後は、譲渡担保権者に対し、被担保債務を弁済して目的不動産の所有権を取り戻す権利を放棄することにより、清算金の支払を請求することができる。,×,判例（最判平8.11.22）の趣旨の通り。債務不履行後であっても、設定者側から一方的に受戻権を放棄して清算金の支払いを請求することは認められない（譲渡担保権者が実行手続に入った場合に清算金が支払われる）。,,
令和8年度午前第15問,民法,オ,譲渡担保権者は、被担保債務について不履行があったときは、その譲渡担保契約が帰属清算型であると処分清算型であるとを問わず、目的不動産を処分する権能を取得する。,○,判例の趣旨の通り。債務不履行後、譲渡担保権者は自己に所有権を確定させる（帰属清算型）か、第三者に売却等して換価する（処分清算型）ことによって目的物を処分する権能を取得する。,,
令和8年度午前第16問,民法,ア,相殺の意思表示には、期限を付することができる。,×,民法506条1項後段の規定により、相殺の意思表示には条件又は期限を付することができない。,,
令和8年度午前第16問,民法,イ,時効によって消滅した債権がその消滅以前に相殺に適するようになっていた場合には、その債権者は、相殺をすることができる。,○,民法508条の規定の通り。時効消滅前に相殺適状にあれば、相殺をすることができる。,,
令和8年度午前第16問,民法,ウ,連帯債務者の一人が債権者に対して債権を有する場合には、その連帯債務者が相殺を援用しない間は、その連帯債務者の負担部分について他の連帯債務者が相殺を援用することができる。,×,※法改正により相殺の「援用」ではなくなった。現行法（民法439条2項）では、他の連帯債務者は相殺を援用することはできず、当該債務者の負担部分の限度で自己の履行を「拒むことができる」にとどまる。,,
令和8年度午前第16問,民法,エ,双方の債務の履行地が異なる場合には、相殺をすることができない。,×,民法507条の規定により、双方の債務の履行地が異なる場合であっても相殺をすることができる。ただし、これによって相手方に生じた損害を賠償しなければならない。,,
